date,county,state,cases,deaths,day,dc_ratio
2020-03-01,New York City,New York,1,0,1,0
2020-03-02,New York City,New York,1,0,2,0
2020-03-03,New York City,New York,2,0,3,0
2020-03-04,New York City,New York,2,0,4,0
2020-03-05,New York City,New York,4,0,5,0
2020-03-06,New York City,New York,5,0,6,0
2020-03-07,New York City,New York,12,0,7,0
2020-03-08,New York City,New York,14,0,8,0
2020-03-09,New York City,New York,20,0,9,0
2020-03-10,New York City,New York,37,0,10,0
2020-03-11,New York City,New York,52,0,11,0
2020-03-12,New York City,New York,96,0,12,0
2020-03-13,New York City,New York,155,0,13,0
2020-03-14,New York City,New York,269,1,14,0.0037174721189591076
2020-03-15,New York City,New York,330,5,15,0.015151515151515152
2020-03-16,New York City,New York,464,7,16,0.015086206896551725
2020-03-17,New York City,New York,646,11,17,0.017027863777089782
2020-03-18,New York City,New York,1344,25,18,0.018601190476190476
2020-03-19,New York City,New York,2477,31,19,0.012515139281388777
2020-03-20,New York City,New York,4419,54,20,0.012219959266802444
2020-03-21,New York City,New York,6226,75,21,0.012046257629296498
2020-03-22,New York City,New York,9065,119,22,0.013127413127413128
2020-03-23,New York City,New York,12329,155,23,0.01257198475139914
2020-03-24,New York City,New York,14943,230,24,0.015391822257913404
2020-03-25,New York City,New York,20061,330,25,0.016449828024525198
2020-03-26,New York City,New York,23182,435,26,0.018764558709343456
2020-03-27,New York City,New York,25509,560,27,0.021953036183307854
2020-03-28,New York City,New York,30919,825,28,0.026682622335780587
2020-03-29,New York City,New York,33983,991,29,0.029161639643351087
2020-03-30,New York City,New York,38375,1202,30,0.03132247557003257
2020-03-31,New York City,New York,43518,1475,31,0.03389402086492945
2020-04-01,New York City,New York,47914,1848,32,0.03856910297616563
2020-04-02,New York City,New York,52400,2152,33,0.04106870229007634
2020-04-03,New York City,New York,57941,2648,34,0.04570166203551889
2020-04-04,New York City,New York,64274,3221,35,0.05011357625167253
2020-04-05,New York City,New York,68726,3646,36,0.053051246980764195
2020-04-06,New York City,New York,73553,4857,37,0.06603401628757495
2020-04-07,New York City,New York,78498,5631,38,0.07173431170220897
2020-04-08,New York City,New York,83673,6441,39,0.07697823670718153
2020-04-09,New York City,New York,89127,7249,40,0.08133337821311162
2020-04-10,New York City,New York,94702,7981,41,0.08427488331819814
2020-04-11,New York City,New York,100840,8734,42,0.08661245537485125
2020-04-12,New York City,New York,105939,9448,43,0.08918339799318475
2020-04-13,New York City,New York,109706,10096,44,0.0920277833482216
2020-04-14,New York City,New York,113632,10857,45,0.09554526893832724
2020-04-15,New York City,New York,121653,11566,46,0.0950736932093742
2020-04-16,New York City,New York,126623,12109,47,0.09563033572099855
2020-04-17,New York City,New York,131003,12283,48,0.09376121157530744
2020-04-18,New York City,New York,135052,12411,49,0.09189793560998727
2020-04-19,New York City,New York,138370,13632,50,0.09851846498518466
2020-04-20,New York City,New York,140881,14074,51,0.09989991553154791
2020-04-21,New York City,New York,143547,14513,52,0.10110277470096903
2020-04-22,New York City,New York,146787,14959,53,0.10190956964853835
2020-04-23,New York City,New York,150327,15361,54,0.10218390575212703
2020-04-24,New York City,New York,155081,15754,55,0.10158562299701446
2020-04-25,New York City,New York,159851,16146,56,0.10100656236119887
2020-04-26,New York City,New York,163106,16486,57,0.10107537429646977
2020-04-27,New York City,New York,165463,16821,58,0.10166018989139566
2020-04-28,New York City,New York,167487,17206,59,0.10273036116235887
2020-04-29,New York City,New York,170124,17597,60,0.10343631703933602
2020-04-30,New York City,New York,172784,17809,61,0.10307088619316604
2020-05-01,New York City,New York,174931,17931,62,0.10250327271895776
2020-05-02,New York City,New York,177490,18021,63,0.10153248070313821
2020-05-03,New York City,New York,179728,18451,64,0.10266068726074958
2020-05-04,New York City,New York,181034,18580,65,0.10263265463945999
2020-05-05,New York City,New York,182318,18719,66,0.10267225397382596
2020-05-06,New York City,New York,183770,18993,67,0.10335201610709038
2020-05-07,New York City,New York,185653,19141,68,0.10310094638923152
2020-05-08,New York City,New York,187157,19210,69,0.10264109811548593
2020-05-09,New York City,New York,188663,19324,70,0.10242601888022558
2020-05-10,New York City,New York,189656,19436,71,0.10248028008605053
2020-05-11,New York City,New York,190546,19563,72,0.10266812213323817
2020-05-12,New York City,New York,191320,19736,73,0.10315701442609242
2020-05-13,New York City,New York,192394,19815,74,0.1029917772903521
2020-05-14,New York City,New York,193663,19904,75,0.1027764725321822
2020-05-15,New York City,New York,195472,19972,76,0.10217320127690922
2020-05-16,New York City,New York,196481,20071,77,0.10215237096716731
2020-05-17,New York City,New York,197486,20214,78,0.10235662274794162
2020-05-18,New York City,New York,198114,20298,79,0.10245616160392501
2020-05-19,New York City,New York,198710,20376,80,0.10254139197825977
2020-05-20,New York City,New York,199392,20422,81,0.10242136093724924
2020-05-21,New York City,New York,200507,20491,82,0.10219593330906153
2020-05-22,New York City,New York,201298,20569,83,0.10218183985931306
2020-05-23,New York City,New York,202062,20621,84,0.10205283526838298
2020-05-24,New York City,New York,202931,20697,85,0.1019903316890963
2020-05-25,New York City,New York,203569,20740,86,0.101881917187784
2020-05-26,New York City,New York,204111,20795,87,0.10188083934721794
2020-05-27,New York City,New York,204781,20844,88,0.10178678686010909
2020-05-28,New York City,New York,205854,20895,89,0.10150397854790288
2020-05-29,New York City,New York,206800,20960,90,0.10135396518375242
2020-05-30,New York City,New York,207539,20991,91,0.10114243587952144
2020-05-31,New York City,New York,208085,21050,92,0.10116058341543119
2020-06-01,New York City,New York,208550,21090,93,0.10112682809877727
2020-06-02,New York City,New York,209195,21132,94,0.10101579865675565
2020-06-03,New York City,New York,209688,21170,95,0.10095952081187287
2020-06-04,New York City,New York,210227,21234,96,0.10100510400662141
2020-06-05,New York City,New York,210728,21262,97,0.1008978398694051
2020-06-06,New York City,New York,211274,21294,98,0.10078854946656948
2020-06-07,New York City,New York,211728,21323,99,0.10070940074057282
2020-06-08,New York City,New York,212122,21356,100,0.1006779117677563
2020-06-09,New York City,New York,212469,21396,101,0.1007017494316818
2020-06-10,New York City,New York,212884,21436,102,0.10069333533755473
2020-06-11,New York City,New York,213271,21468,103,0.10066066178711593
2020-06-12,New York City,New York,213707,21519,104,0.10069394076937115
2020-06-13,New York City,New York,214242,21551,105,0.10059185407156393
2020-06-14,New York City,New York,214627,21578,106,0.1005372110685049
2020-06-15,New York City,New York,215011,21600,107,0.10045997646632032
2020-06-16,New York City,New York,215342,21619,108,0.10039379220031391
2020-06-17,New York City,New York,215686,21645,109,0.10035421863264189
2020-06-18,New York City,New York,216013,21673,110,0.1003319244675089
2020-06-19,New York City,New York,216421,21710,111,0.10031374034867227
2020-06-20,New York City,New York,216803,21719,112,0.10017850306499448
2020-06-21,New York City,New York,217189,21753,113,0.10015700610988586
2020-06-22,New York City,New York,217487,21796,114,0.10021748426342723
2020-06-23,New York City,New York,217803,21817,115,0.10016850089300881
2020-06-24,New York City,New York,218089,21838,116,0.10013343176409631
2020-06-25,New York City,New York,218429,21856,117,0.10005997372143809
2020-06-26,New York City,New York,218799,21893,118,0.10005987230288986
2020-06-27,New York City,New York,219157,21913,119,0.09998768006497626
2020-06-28,New York City,New York,219481,21940,120,0.09996309475535468
2020-06-29,New York City,New York,219670,21941,121,0.09988164064278235
2020-06-30,New York City,New York,219844,22566,122,0.10264551227233856
2020-07-01,New York City,New York,220143,22574,123,0.1025424383241802
2020-07-02,New York City,New York,220567,22593,124,0.10243146073528678
2020-07-03,New York City,New York,221028,22610,125,0.10229473188917242
2020-07-04,New York City,New York,221395,22630,126,0.10221549718828339
2020-07-05,New York City,New York,221637,22661,127,0.10224375893916629
2020-07-06,New York City,New York,221882,22672,128,0.10218043825096222
2020-07-07,New York City,New York,222156,22690,129,0.10213543636003529
2020-07-08,New York City,New York,222444,22696,130,0.10203017388646131
2020-07-09,New York City,New York,222723,22719,131,0.1020056303120917
2020-07-10,New York City,New York,223078,22739,132,0.10193295618572876
2020-07-11,New York City,New York,223382,22750,133,0.10184347888370594
2020-07-12,New York City,New York,223725,22755,134,0.10170968823332216
2020-07-13,New York City,New York,223977,22795,135,0.10177384284993549
2020-07-14,New York City,New York,224293,22808,136,0.10168841649092927
2020-07-15,New York City,New York,224662,22825,137,0.10159706581442345
2020-07-16,New York City,New York,225045,22842,138,0.101499700059988
2020-07-17,New York City,New York,225414,22848,139,0.10136016396497112
2020-07-18,New York City,New York,225799,22859,140,0.10123605507553178
